saa_code;saa_xcoord;saa_ycoord
87215038;816686;2339146
87142612;821982;2302037
87143206;832838;2308854
87107508;795653;2406260
87338178;807642;2387971
87175208;788696;2410268
87279869;807840;2366832
87296327;697578;2509057
87297200;719765;2523718
87297192;708848;2516222
87271874;674153;2490070
87296871;661676;2524965
87297176;704057;2512327
87296012;693251;2508923
87588756;706104;2513447
87296095;703411;2528751
87296384;721324;2523595
87182915;1041126;2395923
80223537;0;0
80254466;0;0
80143842;0;0
54352856;0;0
83117648;0;0
80137323;0;0
20260208;0;0
80020156;0;0
76018101;0;0
70106906;0;0
72165019;0;0
71609073;0;0
72168088;0;0
70107706;0;0
54532143;0;0
80534149;0;0
85060160;0;0
86006494;0;0
85072975;0;0
54551366;0;0
78756114;0;0
88121467;0;0
53424010;0;0
71312157;0;0
80143248;0;0
76002204;0;0
80190652;0;0
54758557;0;0
87414037;958466;2426122
87191353;891731;2482875
87406777;891580;2485012
87193540;939201;2466643
87191312;883320;2490619
87215319;933259;2437736
87191627;887891;2498851
87191296;888760;2485239
87406835;887237;2486987
87192286;916718;2446325
87215343;945194;2431896
87193110;913014;2445892
87215079;950012;2426635
87476853;0;0
87463638;0;0
87215350;947596;2429525
87407023;947249;2429930
87407031;947842;2427269
87406900;945180;2467610
87193151;908624;2478254
87193656;951186.28;2461614.11
87193649;950548.88;2464068.56
87117457;859665;2393051
87524850;0;0
87144584;937610;2330128
87144196;937456.12;2365229.57
87405779;935502;2339892
87405951;899178;2362969
87144006;905199;2361187
87146308;923237;2373121
87144220;882339;2370354
87144048;922360;2361508
87405977;0;0
87405746;0;0
87405662;918748;2379188
87144105;948871.89;2373398.04
87405910;918957;2342599
87144311;850772.56;2352231.42
87144014;942181.16;2374813.6
87144683;937408;2379603.75
87117143;913658;2390530
87193268;923031;2344034
87144659;926748;2341845
87144121;901100;2347046
87213611;1005308;2432788
87006239;0;0
87214817;974379;2376931
87215665;955197;2448987
87214239;978538;2388286
87212266;994239;2401399
87449058;585766;1834363
87139089;528703;1899200
87611632;491588;1876584
87613356;535703;1907110
87505909;569781;1903172
87464552;486545;1871870
87677963;509811;1884524
87613380;531117;1901882
87139105;531421;1901704
87613489;563789;1904652
87592162;567849;2066775
87641241;609701;2071671
87734764;545297;2039397
87594416;523567;2015932
87450064;0;0
87592188;575193;2062896
87361980;574268;2041824
87594861;595336;2067238
87417758;555430;2030116
87594200;540034;2049202
87445015;577578;2120832
87445031;584449;2113863
87641845;612024;2114272
87597864;586457;2086280
87417816;612658;2123277
87597740;594902;2146812
87484089;610973;2108282
87597674;553438;2126469
87484097;612807;2117135
87483982;607846;2082646
87618371;0;0
87115139;521955;2085244
87592121;553669;2082331
87592006;516941;2093446
87592444;508600;2112406
87592295;537688;2064056
87157966;529638;2094650
87344960;529026;2078520
87592709;488526;2098927
87592055;527342;2098976
87592683;496996;2098260
87592675;504909;2093801
87745000;869488;2129256
87745737;858865;2135187
87745349;892376;2157424
87745273;886458;2154745
87742627;874066;2130091
87723726;800428;2102904
87743435;854452;2132057
87743120;831929;2121510
74001198;0;0
84000505;0;0
74048017;0;0
55144311;0;0
83020354;0;0
53403733;0;0
83018200;0;0
54571695;0;0
81019331;0;0
80291518;0;0
81038620;0;0
56151704;0;0
71203000;0;0
85040709;0;0
83015354;0;0
71541052;0;0
54351254;0;0
80015800;0;0
88212381;0;0
71715029;0;0
74048140;0;0
71654053;0;0
84000596;0;0
80190082;0;0
81017368;0;0
84000653;0;0
88210060;746069;2693500
85062869;0;0
71376012;0;0
71704031;0;0
71705004;0;0
84000711;0;0
83042077;0;0
83117119;0;0
84840730;0;0
20196105;0;0
88857040;713777;2706557
80202838;0;0
80206581;0;0
80102178;0;0
80136432;0;0
80203018;0;0
79437046;0;0
84004523;0;0
76013417;0;0
76024026;0;0
80141267;0;0
94466722;0;0
81012427;0;0
76021055;0;0
54340729;0;0
79422071;0;0
79437004;0;0
85054007;0;0
54768549;0;0
79440065;0;0
55180695;0;0
70182907;0;0
76013763;0;0
83075036;0;0
56136135;0;0
80273276;0;0
54347559;0;0
80015495;0;0
80011734;0;0
80231415;0;0
76014043;0;0
71600000;0;0
71170000;87124;1515257
83010405;1111278;2073265
76013441;0;0
74026864;0;0
70488403;0;0
80140087;0;0
88661751;0;0
81010793;0;0
80211052;0;0
80260711;0;0
76021782;0;0
83060095;0;0
80291567;0;0
79423046;0;0
85031047;0;0
81010413;0;0
88963050;0;0
71375000;0;0
83025809;0;0
87402826;799915;2401551
87450767;626293;1874774
86000208;0;0
84000471;0;0
94520015;0;0
80137463;0;0
85022244;0;0
80136168;0;0
76023176;0;0
10002840;0;0
83080036;0;0
71112102;0;0
70180505;0;0
54355552;0;0
85021055;0;0
84004986;0;0
71152116;0;0
71103002;0;0
71505065;0;0
10003798;0;0
83117390;0;0
80263046;0;0
10000109;0;0
81021337;0;0
71010090;0;0
20761106;0;0
88848550;0;0
80295006;0;0
56137463;0;0
83060129;0;0
83065011;0;0
83064147;0;0
54751156;0;0
80224022;0;0
54732750;0;0
83068056;0;0
94346452;0;0
71202002;0;0
71230045;0;0
