prefixe;libelle;codeuic;coderesarail;codemnemo;tarentaise;localite;banlieue;pang;bipass;particularites;nrzonebanlieue;indicgp;numdep
5;MARTIN D'HERES;87392829;FRMAH;FRMAH;;0;0;0;0;0;0.0;N;38
5;MARTIN D'ONEY;87671495;FRGDU;SMTON;;0;0;0;0;0;0.0;N;40
5;MARTIN DU MONT;87743112;FRHQC;SMTMO;;0;0;0;0;0;0.0;N;1
5;MARTIN DU TOUCH;87353599;FRSMA;FRSMA;;0;0;0;0;0;0.0;N;31
5;MARTIN DU VIVIER;87411413;FRDNP;SMTVI;;0;0;0;0;0;0.0;N;76
5;MARTIN LABOUVAL;87613562;FRFTO;SMTLA;;0;0;0;0;0;0.0;N;46
5;MARTIN LE BEAU;87574459;FREUS;SMTBE;;0;0;0;0;0;0.0;N;37
5;MARTIN SAIL LES BAINS;87732651;FRHKL;SMARS;;0;0;0;0;0;0.0;N;42
5;MARTIN VALMEROUX;87003657;FRDRU;FRDRU;;0;0;0;0;0;0.0;N;15
5;MARTORY;87611103;FRFPE;SMARY;;0;0;0;0;0;0.0;N;31
5;MARTORY CENTRE;87449181;FRULC;FRULC;;0;0;0;0;0;0.0;N;31
2;MARTOULET;87450023;FRAWV;ARCGR;;0;0;0;0;0;0.0;N;87
4;MARTRES DE VEYRE;87734178;FRHKY;LMART;;0;0;0;0;0;0.0;N;63
0;MARTRES TOLOSANE;87611087;FRFPD;MARTO;;0;0;0;0;0;0.0;N;31
0;MARVEJOLS;87783282;FRINE;MARVE;;0;0;0;0;0;0.0;N;48
0;MARVILLE;87193235;FRCVI;MARVI;;0;0;0;0;0;0.0;N;55
0;MARVILLE (CARREFOUR);87406629;FRZFC;FRZFC;;0;0;0;0;0;0.0;N;54
0;MARVILLE (LOC);55019323;FRWCF;FRWCF;;1;0;0;0;0;0.0;N;55
2;MAS D'ARTIGES;87594895;FRFKW;LMASA;;0;0;0;0;0;0.0;N;23
0;MAS GRENIER CENTRE;87449108;FRUJS;FRUJS;;0;0;0;0;0;0.0;N;82
0;MASBARAUD MERIGNAT;87321299;FRVKG;FRVKG;;0;0;0;0;0;0.0;N;23
0;MASCARAS (D5/N117);87176305;FRUAW;FRUAW;;0;0;0;0;0;0.0;N;65
0;MASEVAUX;87182485;FRBKE;MASEV;;0;0;0;0;;0.0;N;68
