region;annee;mois;regularite
Ensemble des TER;2009;Mars;91.5
Bourgogne;2009;Avril;94.6
Limousin;2009;Avril;93.6
Picardie;2009;Avril;93.8
Provence-Alpes-Côte d'Azur;2009;Avril;84.8
Auvergne;2009;Mai;93.9
Haute Normandie;2009;Mai;94.5
Nord-Pas de Calais;2009;Mai;93.6
Picardie;2009;Mai;94.4
Alsace;2009;Juin;96.2
Champagne-Ardenne;2009;Juin;96.3
Lorraine;2009;Juin;96.3
Rhône-Alpes;2009;Juin;91.2
Basse Normandie;2009;Juillet;95.4
Bretagne;2009;Juillet;94.8
Languedoc-Roussillon;2009;Juillet;87.8
Poitou-Charentes;2009;Juillet;91.4
Aquitaine;2009;Août;86.7
Basse Normandie;2009;Août;96.2
Franche-Comté;2009;Août;94.9
Pays de la Loire;2009;Août;93.5
Ensemble des TER;2009;Août;92.6
Centre;2009;Septembre;92.3
Limousin;2009;Septembre;96.0
Midi-Pyrénées;2009;Septembre;87.6
Provence-Alpes-Côte d'Azur;2009;Septembre;84.0
Bourgogne;2009;Octobre;91.9
Haute Normandie;2009;Octobre;92.6
Lorraine;2009;Octobre;95.4
Poitou-Charentes;2009;Octobre;94.0
Basse Normandie;2009;Novembre;90.8
Franche-Comté;2009;Novembre;91.7
Languedoc-Roussillon;2009;Novembre;89.2
Pays de la Loire;2009;Novembre;90.7
Aquitaine;2009;Décembre;85.3
Centre;2009;Décembre;88.7
Midi-Pyrénées;2009;Décembre;85.6
Provence-Alpes-Côte d'Azur;2009;Décembre;81.5
Nord-Pas de Calais;2012;Décembre;91.1
Rhône-Alpes;2012;Décembre;86.7
Ensemble des TER;2012;Janvier;91.8
Centre;2012;Février;87.3
Limousin;2012;Février;88.8
Midi-Pyrénées;2012;Février;89.3
Provence-Alpes-Côte d'Azur;2012;Février;87.1
Bretagne;2012;Mars;97.1
Languedoc-Roussillon;2012;Mars;93.0
Lorraine;2012;Mars;95.5
Poitou-Charentes;2012;Mars;93.3
Basse Normandie;2012;Avril;94.4
Franche-Comté;2012;Avril;93.4
Pays de la Loire;2012;Avril;93.3
Ensemble des TER;2012;Avril;92.7
Aquitaine;2012;Mai;92.5
Centre;2012;Mai;92.9
Midi-Pyrénées;2012;Mai;93.6
Provence-Alpes-Côte d'Azur;2012;Mai;84.1
Ensemble des TER;2012;Mai;92.7
Bourgogne;2012;Juin;93.2
Limousin;2012;Juin;91.3
Picardie;2012;Juin;94.3
Auvergne;2012;Juillet;93.0
Champagne-Ardenne;2012;Juillet;95.1
Haute Normandie;2012;Juillet;96.1
Nord-Pas de Calais;2012;Juillet;94.9
Aquitaine;2012;Août;91.7
Centre;2012;Août;94.8
Franche-Comté;2012;Août;95.2
Midi-Pyrénées;2012;Août;93.4
Ensemble des TER;2012;Août;93.7
Bourgogne;2012;Septembre;92.7
Centre;2012;Septembre;92.2
Limousin;2012;Septembre;92.4
Provence-Alpes-Côte d'Azur;2012;Septembre;88.3
Auvergne;2012;Octobre;90.3
Haute Normandie;2012;Octobre;94.2
Nord-Pas de Calais;2012;Octobre;92.4
Picardie;2012;Octobre;91.5
Alsace;2012;Novembre;95.7
Champagne-Ardenne;2012;Novembre;93.6
Lorraine;2012;Novembre;94.9
Nord-Pas de Calais;2012;Novembre;90.4
Rhône-Alpes;2012;Novembre;87.0
Bretagne;2012;Décembre;94.5
Languedoc-Roussillon;2012;Décembre;91.2
Poitou-Charentes;2010;Décembre;88.8
Aquitaine;2011;Janvier;88.7
Franche-Comté;2011;Janvier;91.1
Rhône-Alpes;2011;Décembre;83.5
Basse Normandie;2012;Janvier;95.5
Bretagne;2012;Janvier;96.6
Languedoc-Roussillon;2012;Janvier;90.6
Poitou-Charentes;2012;Janvier;93.3
Aquitaine;2012;Février;87.7
Basse Normandie;2012;Février;93.4
Franche-Comté;2012;Février;89.4
Pays de la Loire;2012;Février;94.2
Ensemble des TER;2012;Février;90.7
Auvergne;2012;Mars;93.8
Champagne-Ardenne;2012;Mars;95.9
Nord-Pas de Calais;2012;Mars;93.2
Rhône-Alpes;2012;Mars;87.5
Bretagne;2012;Avril;97.0
Languedoc-Roussillon;2012;Avril;91.1
Lorraine;2012;Avril;96.7
Poitou-Charentes;2012;Avril;93.3
Basse Normandie;2012;Mai;95.1
Franche-Comté;2012;Mai;93.8
Languedoc-Roussillon;2012;Mai;91.9
Pays de la Loire;2012;Mai;94.3
Aquitaine;2012;Juin;91.8
Centre;2012;Juin;92.8
Midi-Pyrénées;2012;Juin;93.0
Provence-Alpes-Côte d'Azur;2012;Juin;83.4
Ensemble des TER;2012;Juin;92.5
Bourgogne;2012;Juillet;94.5
Limousin;2012;Juillet;91.2
Picardie;2012;Juillet;94.9
Rhône-Alpes;2012;Juillet;91.3
Basse Normandie;2012;Août;93.9
Languedoc-Roussillon;2012;Août;89.3
Pays de la Loire;2012;Août;94.2
Poitou-Charentes;2012;Août;93.0
Aquitaine;2012;Septembre;89.3
Franche-Comté;2012;Septembre;95.8
Midi-Pyrénées;2012;Septembre;90.8
Ensemble des TER;2012;Septembre;92.5
Bourgogne;2012;Octobre;89.3
Centre;2012;Octobre;91.6
Limousin;2012;Octobre;91.1
