region;annee;mois;regularite
Auvergne;2009;Février;94.0
Champagne-Ardenne;2009;Février;95.2
Haute Normandie;2009;Février;94.3
Nord-Pas de Calais;2009;Février;93.0
Alsace;2009;Mars;95.6
Bretagne;2009;Mars;96.7
Lorraine;2009;Mars;94.6
Poitou-Charentes;2009;Mars;93.2
Rhône-Alpes;2009;Mars;88.7
Basse Normandie;2009;Avril;96.2
Languedoc-Roussillon;2009;Avril;88.8
Pays de la Loire;2009;Avril;93.5
Poitou-Charentes;2009;Avril;93.9
Aquitaine;2009;Mai;88.6
Franche-Comté;2009;Mai;92.6
Midi-Pyrénées;2009;Mai;90.2
Poitou-Charentes;2009;Mai;93.3
Aquitaine;2009;Juin;87.7
Franche-Comté;2009;Juin;91.7
Midi-Pyrénées;2009;Juin;88.7
Pays de la Loire;2009;Juin;94.2
Ensemble des TER;2009;Juin;92.0
Centre;2009;Juillet;91.1
Limousin;2009;Juillet;94.1
Provence-Alpes-Côte d'Azur;2009;Juillet;80.9
Auvergne;2009;Août;94.5
Bourgogne;2009;Août;93.8
Haute Normandie;2009;Août;94.7
Picardie;2009;Août;94.5
Alsace;2009;Septembre;95.7
Auvergne;2009;Septembre;95.1
Champagne-Ardenne;2009;Septembre;96.1
Nord-Pas de Calais;2009;Septembre;94.1
Rhône-Alpes;2009;Septembre;91.4
Bretagne;2009;Octobre;95.0
Languedoc-Roussillon;2009;Octobre;89.9
Midi-Pyrénées;2009;Octobre;87.7
Provence-Alpes-Côte d'Azur;2009;Octobre;83.4
Bourgogne;2009;Novembre;91.1
Haute Normandie;2009;Novembre;90.8
Limousin;2009;Novembre;92.4
Picardie;2009;Novembre;88.1
Auvergne;2009;Décembre;93.7
Champagne-Ardenne;2009;Décembre;94.5
Auvergne;2010;Janvier;93.3
Champagne-Ardenne;2010;Janvier;95.3
Haute Normandie;2010;Janvier;94.3
Nord-Pas de Calais;2010;Janvier;93.8
Alsace;2010;Février;93.2
Bretagne;2010;Février;95.9
Champagne-Ardenne;2010;Février;95.4
Lorraine;2010;Février;94.7
Rhône-Alpes;2010;Février;86.4
Basse Normandie;2010;Mars;94.5
Centre;2010;Mars;87.1
Limousin;2010;Mars;95.5
Provence-Alpes-Côte d'Azur;2010;Mars;86.8
Auvergne;2010;Avril;94.3
Haute Normandie;2010;Avril;93.3
Nord-Pas de Calais;2010;Avril;94.8
Picardie;2010;Avril;93.7
Alsace;2010;Mai;96.6
Champagne-Ardenne;2010;Mai;96.5
Lorraine;2010;Mai;95.4
Nord-Pas de Calais;2010;Mai;94.0
Rhône-Alpes;2010;Mai;92.0
Bretagne;2010;Juin;96.7
Languedoc-Roussillon;2010;Juin;88.1
Poitou-Charentes;2010;Juin;92.4
Aquitaine;2010;Juillet;87.2
Basse Normandie;2010;Juillet;92.1
Franche-Comté;2010;Juillet;90.6
Pays de la Loire;2010;Juillet;91.0
Ensemble des TER;2010;Juillet;90.2
Auvergne;2010;Août;91.7
Champagne-Ardenne;2010;Août;96.0
Nord-Pas de Calais;2010;Août;93.1
Rhône-Alpes;2010;Août;91.4
Alsace;2010;Septembre;93.8
Bretagne;2010;Septembre;97.3
Lorraine;2010;Septembre;95.9
Poitou-Charentes;2010;Septembre;94.5
Basse Normandie;2010;Octobre;92.2
Franche-Comté;2010;Octobre;92.4
Languedoc-Roussillon;2010;Octobre;85.6
Pays de la Loire;2010;Octobre;92.4
Aquitaine;2010;Novembre;86.4
Centre;2010;Novembre;79.9
Franche-Comté;2010;Novembre;83.8
Midi-Pyrénées;2010;Novembre;88.1
Ensemble des TER;2010;Novembre;85.3
Bourgogne;2010;Décembre;79.7
Limousin;2010;Décembre;90.5
Picardie;2010;Décembre;78.9
Pays de la Loire;2011;Décembre;90.9
Ensemble des TER;2011;Décembre;90.6
Centre;2012;Janvier;92.5
Limousin;2012;Janvier;93.9
Provence-Alpes-Côte d'Azur;2012;Janvier;88.7
Auvergne;2012;Février;91.6
Bourgogne;2012;Février;91.1
Haute Normandie;2012;Février;97.2
Picardie;2012;Février;90.1
Alsace;2012;Mars;95.7
Basse Normandie;2012;Mars;95.2
Franche-Comté;2012;Mars;92.7
Pays de la Loire;2012;Mars;92.5
Ensemble des TER;2012;Mars;91.8
Aquitaine;2012;Avril;91.2
Centre;2012;Avril;92.4
Midi-Pyrénées;2012;Avril;92.9
Provence-Alpes-Côte d'Azur;2012;Avril;86.4
Bourgogne;2012;Mai;93.2
Haute Normandie;2012;Mai;96.5
Limousin;2012;Mai;94.4
Picardie;2012;Mai;94.6
Auvergne;2012;Juin;92.3
Champagne-Ardenne;2012;Juin;94.3
Haute Normandie;2012;Juin;95.8
Nord-Pas de Calais;2012;Juin;93.8
Alsace;2012;Juillet;96.9
Bretagne;2012;Juillet;96.2
Lorraine;2012;Juillet;95.6
Poitou-Charentes;2012;Juillet;92.2
Ensemble des TER;2012;Juillet;92.9
Bourgogne;2012;Août;94.3
Limousin;2012;Août;94.3
Picardie;2012;Août;95.1
Provence-Alpes-Côte d'Azur;2012;Août;87.0
Auvergne;2012;Septembre;94.5
Haute Normandie;2012;Septembre;95.5
Nord-Pas de Calais;2012;Septembre;93.1
Picardie;2012;Septembre;93.8
Alsace;2012;Octobre;92.9
Champagne-Ardenne;2012;Octobre;94.4
Lorraine;2012;Octobre;93.2
Rhône-Alpes;2012;Octobre;86.7
Basse Normandie;2012;Novembre;90.7
Bretagne;2012;Novembre;92.1
Languedoc-Roussillon;2012;Novembre;90.4
Poitou-Charentes;2012;Novembre;89.9
Aquitaine;2012;Décembre;89.1
Basse Normandie;2012;Décembre;94.6
Franche-Comté;2012;Décembre;90.5
Provence-Alpes-Côte d'Azur;2011;Décembre;86.3
Auvergne;2012;Janvier;88.8
Bourgogne;2012;Janvier;92.5
Haute Normandie;2012;Janvier;96.8
Picardie;2012;Janvier;92.3
Alsace;2012;Février;95.6
Champagne-Ardenne;2012;Février;96.0
Lorraine;2012;Février;96.0
Nord-Pas de Calais;2012;Février;91.7
Rhône-Alpes;2012;Février;85.6
Centre;2012;Mars;91.4
Limousin;2012;Mars;95.4
Midi-Pyrénées;2012;Mars;91.2
Provence-Alpes-Côte d'Azur;2012;Mars;87.7
Bourgogne;2012;Avril;92.9
Haute Normandie;2012;Avril;97.4
Limousin;2012;Avril;94.8
Picardie;2012;Avril;92.1
Auvergne;2012;Mai;91.6
Champagne-Ardenne;2012;Mai;95.3
Nord-Pas de Calais;2012;Mai;94.2
Rhône-Alpes;2012;Mai;90.4
Alsace;2012;Juin;95.8
Bretagne;2012;Juin;96.3
Lorraine;2012;Juin;94.6
Poitou-Charentes;2012;Juin;93.9
Rhône-Alpes;2012;Juin;90.6
Basse Normandie;2012;Juillet;96.3
Languedoc-Roussillon;2012;Juillet;90.5
Pays de la Loire;2012;Juillet;94.2
Provence-Alpes-Côte d'Azur;2012;Juillet;82.4
Auvergne;2012;Août;92.8
Haute Normandie;2012;Août;96.1
Nord-Pas de Calais;2012;Août;95.4
Alsace;2012;Septembre;94.8
Bretagne;2012;Septembre;96.7
Champagne-Ardenne;2012;Septembre;95.5
Lorraine;2012;Septembre;96.1
Rhône-Alpes;2012;Septembre;89.5
Basse Normandie;2012;Octobre;92.2
Bretagne;2012;Octobre;92.6
Languedoc-Roussillon;2012;Octobre;89.6
Poitou-Charentes;2012;Octobre;92.4
Aquitaine;2012;Novembre;88.3
Franche-Comté;2012;Novembre;93.0
Midi-Pyrénées;2012;Novembre;88.9
Pays de la Loire;2012;Novembre;87.1
Ensemble des TER;2012;Novembre;90.1
Centre;2012;Décembre;90.6
Limousin;2012;Décembre;91.0
Picardie;2011;Décembre;92.5
Alsace;2012;Janvier;95.9
Champagne-Ardenne;2012;Janvier;94.3
Lorraine;2012;Janvier;95.0
Nord-Pas de Calais;2012;Janvier;93.6
Rhône-Alpes;2012;Janvier;87.0
Bretagne;2012;Février;96.2
Languedoc-Roussillon;2012;Février;90.9
Poitou-Charentes;2012;Février;91.3
Aquitaine;2012;Mars;86.0
Bourgogne;2012;Mars;91.5
Haute Normandie;2012;Mars;96.5
Picardie;2012;Mars;91.2
Alsace;2012;Avril;97.0
Auvergne;2012;Avril;92.4
Champagne-Ardenne;2012;Avril;95.9
Nord-Pas de Calais;2012;Avril;93.2
Rhône-Alpes;2012;Avril;89.5
Alsace;2012;Mai;95.2
Bretagne;2012;Mai;96.0
Lorraine;2012;Mai;95.9
Poitou-Charentes;2012;Mai;93.0
Basse Normandie;2012;Juin;95.4
Franche-Comté;2012;Juin;94.3
Languedoc-Roussillon;2012;Juin;90.7
Pays de la Loire;2012;Juin;94.7
Aquitaine;2012;Juillet;91.5
Centre;2012;Juillet;93.2
Franche-Comté;2012;Juillet;94.3
Midi-Pyrénées;2012;Juillet;93.4
Alsace;2012;Août;98.0
Bretagne;2012;Août;96.4
Champagne-Ardenne;2012;Août;96.8
Lorraine;2012;Août;96.4
Rhône-Alpes;2012;Août;91.5
Basse Normandie;2012;Septembre;95.2
Languedoc-Roussillon;2012;Septembre;92.1
Pays de la Loire;2012;Septembre;92.8
Poitou-Charentes;2012;Septembre;93.9
Aquitaine;2012;Octobre;88.4
Franche-Comté;2012;Octobre;91.0
Midi-Pyrénées;2012;Octobre;89.7
Pays de la Loire;2012;Octobre;92.4
Ensemble des TER;2012;Octobre;90.3
Centre;2012;Novembre;89.5
Limousin;2012;Novembre;90.2
Provence-Alpes-Côte d'Azur;2012;Novembre;86.4
Auvergne;2012;Décembre;93.3
Bourgogne;2012;Décembre;91.2
Haute Normandie;2012;Décembre;94.4
Haute Normandie;2009;Décembre;91.6
Nord-Pas de Calais;2009;Décembre;92.8
Alsace;2010;Janvier;92.5
Bretagne;2010;Janvier;95.1
Lorraine;2010;Janvier;94.4
Poitou-Charentes;2010;Janvier;93.7
Rhône-Alpes;2010;Janvier;85.9
Basse Normandie;2010;Février;93.1
Languedoc-Roussillon;2010;Février;86.5
Pays de la Loire;2010;Février;94.9
Poitou-Charentes;2010;Février;94.5
Aquitaine;2010;Mars;90.9
Haute Normandie;2010;Mars;93.7
Nord-Pas de Calais;2010;Mars;93.3
Picardie;2010;Mars;91.7
Alsace;2010;Avril;95.4
Champagne-Ardenne;2010;Avril;96.8
Lorraine;2010;Avril;95.8
Rhône-Alpes;2010;Avril;90.3
Basse Normandie;2010;Mai;94.5
Bretagne;2010;Mai;97.0
Languedoc-Roussillon;2010;Mai;87.2
Poitou-Charentes;2010;Mai;92.7
Aquitaine;2010;Juin;87.6
Basse Normandie;2010;Juin;92.9
Franche-Comté;2010;Juin;91.8
Pays de la Loire;2010;Juin;91.3
Ensemble des TER;2010;Juin;91.6
Centre;2010;Juillet;89.9
Limousin;2010;Juillet;94.2
Midi-Pyrénées;2010;Juillet;91.7
Provence-Alpes-Côte d'Azur;2010;Juillet;79.4
Bretagne;2010;Août;96.7
Languedoc-Roussillon;2010;Août;84.4
Lorraine;2010;Août;97.4
Poitou-Charentes;2010;Août;93.8
Basse Normandie;2010;Septembre;89.6
Franche-Comté;2010;Septembre;90.3
Languedoc-Roussillon;2010;Septembre;86.9
Pays de la Loire;2010;Septembre;94.3
Aquitaine;2010;Octobre;88.1
Centre;2010;Octobre;88.3
Midi-Pyrénées;2010;Octobre;90.3
Provence-Alpes-Côte d'Azur;2010;Octobre;89.9
Ensemble des TER;2010;Octobre;91.2
Bourgogne;2010;Novembre;79.9
Limousin;2010;Novembre;89.3
Picardie;2010;Novembre;84.5
Provence-Alpes-Côte d'Azur;2010;Novembre;83.2
Auvergne;2010;Décembre;88.1
Picardie;2012;Décembre;91.7
Poitou-Charentes;2012;Décembre;92.9
Pays de la Loire;2012;Décembre;91.4
Ensemble des TER;2012;Décembre;90.7
Midi-Pyrénées;2012;Décembre;89.4
Provence-Alpes-Côte d'Azur;2012;Décembre;83.5
Haute Normandie;2010;Décembre;88.7
Nord-Pas de Calais;2010;Décembre;82.0
