saa_ide;csp_ide;saa_code;saa_name;coord;saa_xcoord;saa_ycoord;saa_insee;mainstoparea;mainconnection;carpark;multimodal;additionaldata;saa_visible
1527;2;OCE80291708;gare de KRESSBRONN;0,0;0;0;;1;0;0;0;;1
1532;2;OCE74021204;gare de Kristinehamn;0,0;0;0;;1;0;0;0;;1
1534;2;OCE54345751;gare de KRIZANOV;0,0;0;0;;1;0;0;0;;1
1539;2;OCE84003699;gare de Kropswolde;0,0;0;0;;1;0;0;0;;1
1546;2;OCE81004630;gare de Kufstein;0,0;0;0;;1;0;0;0;;1
1551;2;OCE55162040;gare de Kunsztmiklos-Tass;0,0;0;0;;1;0;0;0;;1
1553;2;OCE10001263;gare de Kupittaa;0,0;0;0;;1;0;0;0;;1
1558;2;OCE76007401;gare de KVAM;0,0;0;0;;1;0;0;0;;1
1565;2;OCE87753541;gare de La Couronne;820495,1819090;820495;1819090;;1;0;0;0;;1
1570;2;OCE85010603;gare de La-Cure;0,0;0;0;;1;0;0;0;;1
1577;2;OCE71313080;gare de Lalin;0,0;0;0;;1;0;0;0;;1
1583;2;OCE80264200;gare de LANDAU ISAR;0,0;0;0;;1;0;0;0;;1
1585;2;OCE88920561;gare de Landegem;0,0;0;0;;1;0;0;0;;1
1590;2;OCE86000448;gare de LANGAA;0,0;0;0;;1;0;0;0;;1
1597;2;OCE81019323;gare de LANGWIES;0,0;0;0;;1;0;0;0;;1
1602;2;OCE71512020;gare de Las-Cabezas-de-San-Juan;0,0;0;0;;1;0;0;0;;1
1605;2;OCE76013375;gare de LASSEMOEN;0,0;0;0;;1;0;0;0;;1
1610;2;OCE80297549;gare de LAUDA;0,0;0;0;;1;0;0;0;;1
1617;2;OCE85011205;gare de Lausanne;0,0;0;0;;1;0;0;0;;1
1622;2;OCE85043166;gare de Le Locle;934807,2238048;934807;2238048;;1;0;0;0;;1
1624;2;OCE87598227;gare de Le Locle.;934805,2238043;934805;2238043;;1;0;0;0;;1
1629;2;OCE83111450;gare de Lecce;0,0;0;0;;1;0;0;0;;1
1636;2;OCE84843870;gare de Leeuwarden;0,0;0;0;;1;0;0;0;;1
1641;2;OCE70194704;gare de Leicester;0,0;0;0;;1;0;0;0;;1
1648;2;OCE80023879;gare de LENGENWANG;0,0;0;0;;1;0;0;0;;1
1653;2;OCE81011502;gare de Leogang;0,0;0;0;;1;0;0;0;;1
1655;2;OCE56137166;gare de Leopoldov;0,0;0;0;;1;0;0;0;;1
1661;2;OCE74023416;gare de LESSEBO;0,0;0;0;;1;0;0;0;;1
1668;2;OCE76013060;gare de LEVANGER;0,0;0;0;;1;0;0;0;;1
1673;2;OCE83023093;gare de LEVICO;0,0;0;0;;1;0;0;0;;1
1675;2;OCE85014829;gare de Leysin Feyd;0,0;0;0;;1;0;0;0;;1
1680;2;OCE88650030;gare de Libramont;0,0;0;0;;1;0;0;0;;1
1687;2;OCE85000232;gare de Liestal;0,0;0;0;;1;0;0;0;;1
1692;2;OCE80325720;gare de Limburg-Sued;0,0;0;0;;1;0;0;0;;1
1699;2;OCE88141424;gare de Linkebeek;0,0;0;0;;1;0;0;0;;1
1704;2;OCE81010736;gare de Linz-Hbf;0,0;0;0;;1;0;0;0;;1
7753;2;OCE87442202;Teulat;548054,1847835;548054;1847835;81298;1;0;0;0;;1
7758;2;OCE87464578;Viviers-Pierre-Planté;0,0;0;0;81325;1;0;0;0;;1
7765;2;OCE87611897;gare de Castelsarrasin;501928,1893967;501928;1893967;82033;1;0;0;0;;1
7770;2;OCE87618082;gare de Golfech;481200,1902774;481200;1902774;82072;1;0;0;0;;1
7772;2;OCE87613471;gare de Laguépie;570534,1904980;570534;1904980;82088;1;0;0;0;;1
7777;2;OCE87611871;gare de Malause;490595,1899500;490595;1899500;82101;1;0;0;0;;1
7784;2;OCE87611699;gare de Montbartier;513807,1880856;513807;1880856;82123;1;0;0;0;;1
