87215111;Nouvel-Avricourt;930423;2415327
87193821;Bitche;972462;2462106
87192260;Brulange;908456;2449526
87192138;Chenois;904869;2448202
87199620;Destry;911232;2446767
87191379;Ebersviller;896618;2482901
87193144;Hargarten-Falck;913139;2477562
87193359;Faulquemont;912005;2458166
87406983;Fénétrange (Pensionnat);943660;2437954
87194365;Fontoy;866281;2490225
87215244;Gosselming;942679;2431771
87168773;Douelle-les-Bories;521361;1942480
87165514;Ceint-d'Eau-Village;572173;1954787
87613059;Gramat;551359;1974935
87613570;Calvignac;555744;1941604
87167114;Seuzac;558235;1941901
87165613;Livernon-Gendarmerie;560796;1960842
87613703;Mercuès;524295;1944339
87620039;Pescadoires;506443;1945971
87594564;Les Quatre-Routes;545411;1999837
87613539;St-Géry;539789;1942237
87168054;Latoulzanie;0;0
87609610;Souillac-Renaissance;0;0
87168070;Vers-le-Cuzoul;536946;1941097
87677997;Ancizan;436366;1765438
87620146;Antist;419273;1792814
87677971;Arreau;437998;1769003
87671602;Bazet;416326;1812452
87618652;Beyrède;439694;1774705
87678078;Artigues.;425715;1772435
87439976;Capvern-Mairie;435196;1790958
87671081;Castelnau-Riv.-Basse;409595;1846794
87177329;Escondeaux;420963;1817801
87671438;Rebouc;439643;1778824
87177352;Lacassagne-65;421463;1819446
87671123;Lannemezan;441095;1792153
87671412;Lortet;440229;1784186
87176305;Mascaras-D5-N117;423999;1801607
87443424;Monlong-Eglise;447680;1802308
87671644;Nouilhan;413611;1827280
87176313;Péré;434886;1794829
87671362;St-Pé (Htes-Pyrénées);396246;1792002
87671446;Sarrancolin;439994;1775988
87671008;Tarbes;415553;1806811
87176909;Tournay-Centre;429723;1800223
87176925;Tournay-Village-Retrait;429540;1800305
87671354;Villefranque;410181;1836205
87615195;Albi-Madeleine.;584294;1881841
87551937;Beauvais-sur-Tescou;538258;1879355
87442509;Pont-de-Blaye;585550;1891790
87615625;Carmaux;585225;1894197
87442285;Cadix-Cuq-Toulzat-RN;563364;1840957
87177527;Gaillac-Pl.-Libération;564718;1877718
87615245;Tessonnières;567911;1880846
87165738;Labruguière-Abri-Bus;594164;1837468
87443143;Le-Ramel-Centre;550817;1852218
87177592;Marssac-Tarn-Croisement;575288;1879723
87442293;Puylaurens-Halle;573825;1841125
87615559;St-Amans-Soult;612090;1830784
87442301;St-Germain-81-Trappe-H;0;0
87110155;Salvagnac;547239;1879421
56131011;Liptovsky-Mikulas;0;0
70224600;Liverpool;0;0
88410040;Liège Guillemins;0;0
