spt_ide;saa_ide;spt_code;spt_name;coord;spt_xcoord;spt_ycoord;spt_insee;csp_ide;spt_ufr;spt_sheltered;spt_elevator;spt_escalator;spt_bikeaccepted;spt_bikedepot;spt_visualannouncement;spt_audibleannouncement;spt_appropriatesignage;spt_appropriateescort
4707;3924;OCETransilien-87113803;gare de Yvris-Noisy-le-Grand;617874,2425006;617874;2425006;93051;2;0;0;0;0;0;0;0;0;0;0
4710;3926;OCENoctilien-87113217;gare de Noisy-le-Sec;609055,2433165;609055;2433165;93053;2;0;0;0;0;0;0;0;0;0;0
4716;3928;OCENoctilien-87594937;Pantin-Noctilien;604688,2433279;604688;2433279;93055;2;0;0;0;0;0;0;0;0;0;0
4723;3932;OCETransilien-87113696;gare de Rosny-Bois-Perrier;610640,2431610;610640;2431610;93064;2;0;0;0;0;0;0;0;0;0;0
4728;3936;OCENoctilien-87981803;Fret-Centre;0,0;0;0;93066;2;0;0;0;0;0;0;0;0;0;0
4730;3938;OCENoctilien-87271015;gare de St-Denis;600696,2437396;600696;2437396;93066;2;0;0;0;0;0;0;0;0;0;0
4735;3940;OCENoctilien-87983619;Porte-de-Paris;0,0;0;0;93066;2;0;0;0;0;0;0;0;0;0;0
4742;3946;OCENoctilien-87594952;Sevran-Livry-Noctilien;614544,2437556;614544;2437556;93071;2;0;0;0;0;0;0;0;0;0;0
4747;3951;OCERER B-87271486;gare de Parc-des-Expositions;613017,2441735;613017;2441735;93078;2;0;0;0;0;0;0;0;0;0;0
4749;3953;OCENoctilien-87982074;Villepinte-Espace-V;0,0;0;0;93078;2;0;0;0;0;0;0;0;0;0;0
4754;3957;OCERER B-87758672;gare de Arcueil-Cachan;599372,2422222;599372;2422222;94003;2;0;0;0;0;0;0;0;0;0;0
2211;1945;OCEThalys-88810000;gare de Mons;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2216;1950;OCETrain-83015354;gare de MONTELLO GORLAGO;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2223;1957;OCELyria-85013003;gare de Montreux;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2228;1961;OCETrain-54343020;gare de MORAVSKY BEROUN;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2230;1963;OCETrain-71561001;gare de Moreda;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2235;1968;OCETrain-88211474;gare de Mortsel;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2242;1975;OCETrain-20060079;gare de Moskva-oktiabrskaia;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2247;1980;OCETrain-76005165;gare de Moss;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2254;1985;OCETrain TER-88857040;gare de Mouscron/Moeskroen;713777,2706557;713777;2706557;;2;0;0;0;0;0;0;0;0;0;0
2259;1989;OCETrain-80260281;gare de MUENCHBERG;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2261;1991;OCETrain-80205815;gare de Muenchen hbf (Tief);0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2266;1996;OCETrain-10003756;gare de Muhos;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2273;1999;OCETrain-80203471;gare de Munchen-Hbf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2279;2001;OCETrain-80202861;gare de Munchen-Pasing;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2281;2003;OCEICE-80210112;gare de Munster-Hbf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2286;2007;OCETrain-80144675;gare de Murg(Baden);0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2293;2013;OCETrain-81031443;gare de Murzzuschlag;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2298;2018;OCETrain-85031260;gare de NAENIKON GREIFENSEE;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2305;2024;OCETrain TER-88630080;gare de Namur;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2310;2026;OCETrain-83092189;gare de Napoli-Centrale;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2313;2029;OCETrain-74030120;gare de Nassjo;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2318;2033;OCETrain-71102087;gare de NAVALPERAL;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2325;2040;OCETrain-94466722;gare de Nelas;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2330;2045;OCETrain-54546861;gare de NERATOVICE;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2332;2047;OCETrain-76021055;gare de NESLANDSVATN;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2337;2052;OCELyria-85042218;gare de Neuchβtel;1000950,2302170;1000950;2302170;;2;0;0;0;0;0;0;0;0;0;0
2345;2059;OCETrain-85034231;gare de Neuhausen;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2350;2064;OCETrain-81036210;gare de Neumarkt-Stm;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2352;2065;OCETrain-80012955;gare de Neumuenster;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2357;2068;OCEICE-80194035;gare de Neustadt (Weinstr) Hbf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2364;2073;OCETrain-80143842;gare de Neustadt-Schwarzw;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2369;2078;OCETrain-54352856;gare de NEZAMYSLICE;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2376;2085;OCEICE-80137323;gare de NIENBURG WESER;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2381;2089;OCETrain-84004556;gare de Nieuwerkerk-Ad-IjsseI;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2383;2091;OCETrain-84004705;gare de Nijmegen;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2388;2096;OCETrain-76021758;gare de NODELAND;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2395;2102;OCETrain-80211094;gare de NORDEN;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2400;2107;OCETrain-70182600;gare de Nottingham;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2402;2109;OCETrain-79447003;gare de Nova-Gorica;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2408;2114;OCETrain-54339127;gare de NOVE LOSINY;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2416;2122;OCETrain-78725606;gare de Novska;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2421;2125;OCE9-80221937;gare de Nurnberg-Hbf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2423;2127;OCETrain-74029595;gare de NYBRO;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2428;2131;OCETrain-74029744;gare de NYKVARN;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2435;2137;OCETrain-80534149;gare de Obergries;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2440;2141;OCETrain-80023812;gare de Oberstdorf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2447;2147;OCETrain-86005124;gare de Odense;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2452;2151;OCETrain-85072975;gare de Oey-Diemtigen;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2454;2153;OCETrain-80143099;gare de Offenburg;1014573,2401204;1014573;2401204;;2;0;0;0;0;0;0;0;0;0;0
2459;2156;OCETrain-54551366;gare de OLBRAMOVICE;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
11504;7386;OCE9-87446864;Villenouvelle-Vieille-H;545349,1826104;545349;1826104;31589;2;0;0;0;0;0;0;0;0;0;0
11509;7388;OCETrain TER-87611764;gare de Aubiet;474990,1851023;474990;1851023;32012;2;0;0;0;0;0;0;0;0;0;0
11511;7390;OCE9-87462374;Auch-le-Garros;459114,1849815;459114;1849815;32013;2;0;0;0;0;0;0;0;0;0;0
11516;7394;OCECar TER-87611749;gare de Auch;459401,1851030;459401;1851030;32013;2;0;0;0;0;0;0;0;0;0;0
11523;7397;OCE9-87671057;Barcelonne-du-Gers;392320,1859091;392320;1859091;32027;2;0;0;0;0;0;0;0;0;0;0
11528;7401;OCE9-87516120;Cazaubon;406376,1884478;406376;1884478;32096;2;0;0;0;0;0;0;0;0;0;0
11535;7405;OCE9-87464768;Eauze;0,0;0;0;32119;2;0;0;0;0;0;0;0;0;0;0
11540;7409;OCE9-87618694;Galiax;412295,1848056;412295;1848056;32136;2;0;0;0;0;0;0;0;0;0;0
11542;7410;OCECar TER-87611772;gare de Gimont-Cahuzac;481298,1849033;481298;1849033;32147;2;0;0;0;0;0;0;0;0;0;0
11547;7412;OCE9-87464750;Gondrin;0,0;0;0;32149;2;0;0;0;0;0;0;0;0;0;0
11554;7416;OCE9-87617126;Laas;437214,1831777;437214;1831777;32167;2;0;0;0;0;0;0;0;0;0;0
11559;7420;OCE9-87462788;Lahitte;0,0;0;0;32183;2;0;0;0;0;0;0;0;0;0;0
11561;7422;OCE9-87450148;Lanne-Soubiran-RN;402656,1863750;402656;1863750;32191;2;0;0;0;0;0;0;0;0;0;0
11566;7425;9-87589200;Ragegat;465621,1886310;465621;1886310;32208;2;0;0;0;0;0;0;0;0;0;0
11573;7430;OCE9-87443275;Masseube-Place-Dastι;457502,1827033;457502;1827033;32242;2;0;0;0;0;0;0;0;0;0;0
11578;7433;OCE9-87440180;Mielan-Ville;435600,1827407;435600;1827407;32252;2;0;0;0;0;0;0;0;0;0;0
11585;7438;OCE9-87464743;Mouchan;0,0;0;0;32292;2;0;0;0;0;0;0;0;0;0;0
11590;7441;OCE9-87450510;Ordan-Larroque-RN;448920,1856357;448920;1856357;32301;2;0;0;0;0;0;0;0;0;0;0
11592;7443;OCE9-87443283;Panassac-Centre;456156,1821967;456156;1821967;32304;2;0;0;0;0;0;0;0;0;0;0
11597;7447;OCE9-87619577;Prιchac-sur-Adour;410842,1847257;410842;1847257;32330;2;0;0;0;0;0;0;0;0;0;0
11605;7452;OCE9-87168302;Ste-Christie-Castejalou;461381,1864652;461381;1864652;32368;2;0;0;0;0;0;0;0;0;0;0
11610;7456;OCE9-87617183;St-Jean-Le-Comtal;0,0;0;0;32381;2;0;0;0;0;0;0;0;0;0;0
11612;7458;OCE9-87177444;St-Martin (Gers);442554,1834984;442554;1834984;32389;2;0;0;0;0;0;0;0;0;0;0
11617;7463;9-87464859;Segos;503963,1937659;503963;1937659;32424;2;0;0;0;0;0;0;0;0;0;0
11624;7467;OCE9-87450106;Vergoignan-RN;395586,1860590;395586;1860590;32460;2;0;0;0;0;0;0;0;0;0;0
11629;7471;OCE9-87168716;Albas-Riviθre-Basse;511873,1943000;511873;1943000;46001;2;0;0;0;0;0;0;0;0;0;0
11631;7473;9-87620021;Anglars-Juillac;510830,1944548;510830;1944548;46005;2;0;0;0;0;0;0;0;0;0;0
11636;7476;OCECorail Lunιa-87613075;gare de Assier;562965,1963859;562965;1963859;46009;2;0;0;0;0;0;0;0;0;0;0
11643;7480;OCETrain TER-87594762;gare de Bretenoux-Biars;561121,1991988;561121;1991988;46029;2;0;0;0;0;0;0;0;0;0;0
11648;7482;OCE9-87440370;Bouzies;544825,1943050;544825;1943050;46037;2;0;0;0;0;0;0;0;0;0;0
11655;7487;OCE9-87168740;Cahors-Consuls;528441,1939756;528441;1939756;46042;2;0;0;0;0;0;0;0;0;0;0
11660;7491;OCECorail Intercitι-87613000;gare de Cahors;528046,1939094;528046;1939094;46042;2;0;0;0;0;0;0;0;0;0;0
11662;7491;9-87613000;gare de Cahors;528046,1939094;528046;1939094;46042;2;0;0;0;0;0;0;0;0;0;0
11667;7493;OCECar TER-87165498;Cambes-Village;568586,1957168;568586;1957168;46051;2;0;0;0;0;0;0;0;0;0;0
11674;7499;OCETrain TER-87613174;gare de Dιgagnac;520912,1961889;520912;1961889;46087;2;0;0;0;0;0;0;0;0;0;0
11679;7503;OCE9-87613836;Duravel;500039,1945777;500039;1945777;46089;2;0;0;0;0;0;0;0;0;0;0
11681;7504;OCE9-87168849;Duravel-Place-du-Foirai;499992,1946861;499992;1946861;46089;2;0;0;0;0;0;0;0;0;0;0
11686;7508;OCE9-87165506;Figeac-Lycιe-Champollio;575506,1956392;575506;1956392;46102;2;0;0;0;0;0;0;0;0;0;0
11693;7510;OCECar TER-87164996;Cuzac-Enlet;584600,1953255;584600;1953255;46106;2;0;0;0;0;0;0;0;0;0;0
11698;7513;OCECorail Intercitι-87613141;gare de Gourdon;524938,1971685;524938;1971685;46127;2;0;0;0;0;0;0;0;0;0;0
11701;7513;OCECorail Lunιa-87613141;gare de Gourdon;524938,1971685;524938;1971685;46127;2;0;0;0;0;0;0;0;0;0;0
11706;7515;OCECar TER-87165522;Gramat-Ville;551662,1975655;551662;1975655;46128;2;0;0;0;0;0;0;0;0;0;0
11713;7520;OCE9-87619940;Larnagol;555564,1941731;555564;1941731;46155;2;0;0;0;0;0;0;0;0;0;0
11718;7523;OCE9-87517748;Larroque;568784,1946872;568784;1946872;46157;2;0;0;0;0;0;0;0;0;0;0
11725;7529;OCE9-87168955;Luzech-Institut-Boissor;515242,1943014;515242;1943014;46182;2;0;0;0;0;0;0;0;0;0;0
11730;7533;OCE9-87613703;Mercuθs;524295,1944339;524295;1944339;46191;2;0;0;0;0;0;0;0;0;0;0
11732;7534;9-87619965;Caillac;566172,1943794;566172;1943794;46198;2;0;0;0;0;0;0;0;0;0;0
11737;7537;9-87613729;Parnac;518663,1943775;518663;1943775;46214;2;0;0;0;0;0;0;0;0;0;0
11744;7541;OCETrain TER-87594754;gare de Puybrun;556358,1991378;556358;1991378;46229;2;0;0;0;0;0;0;0;0;0;0
11749;7544;OCE9-87169334;Puy-l'Evκque-Place-du-R;506445,1945921;506445;1945921;46231;2;0;0;0;0;0;0;0;0;0;0
12004;7696;9-87615625;gare de Carmaux;585225,1894197;585225;1894197;81060;2;0;0;0;0;0;0;0;0;0;0
12009;7699;OCE9-87464586;Naves-Tarn;0,0;0;0;81195;2;0;0;0;0;0;0;0;0;0;0
12011;7701;OCECar TER-87505941;Cordes-Centre;0,0;0;0;81069;2;0;0;0;0;0;0;0;0;0;0
12016;7704;OCE9-87442285;Cadix-Cuq-Toulzat-RN;563364,1840957;563364;1840957;81076;2;0;0;0;0;0;0;0;0;0;0
12023;7709;OCE9-87177527;Gaillac-Pl.-Libιration;564718,1877718;564718;1877718;81099;2;0;0;0;0;0;0;0;0;0;0
12028;7711;0-87615245;gare de Tessonniθres;567911,1880846;567911;1880846;81099;2;0;0;0;0;0;0;0;0;0;0
12035;7714;OCE9-87615575;Labastide-Rouairoux;624812,1830432;624812;1830432;81115;2;0;0;0;0;0;0;0;0;0;0
12040;7716;OCECar TER-87165738;Labruguiθre-Abri-Bus;594164,1837468;594164;1837468;81120;2;0;0;0;0;0;0;0;0;0;0
12042;7718;OCE9-87442335;Lagarrigue-Vitarelle;595122,1842142;595122;1842142;81130;2;0;0;0;0;0;0;0;0;0;0
12047;7720;OCECar TER-87328021;gare de Les Cauquillous;553052,1859348;553052;1859348;81140;2;0;0;0;0;0;0;0;0;0;0
12054;7725;9-87615310;gare de Lisle-sur-Tarn;557433,1872880;557433;1872880;81145;2;0;0;0;0;0;0;0;0;0;0
12059;7727;9-87615419;gare de Marssac-sur-Tarn;575088,1879334;575088;1879334;81156;2;0;0;0;0;0;0;0;0;0;0
12061;7729;OCE9-87442269;Maurens-Scopont-Esclau.;557844,1842570;557844;1842570;81162;2;0;0;0;0;0;0;0;0;0;0
12066;7731;OCECar TER-87165845;Mazamet-Avenue-Toulouse;603224,1832104;603224;1832104;81163;2;0;0;0;0;0;0;0;0;0;0
12073;7738;OCE9-87449041;St-Affrique-M-81;0,0;0;0;81235;2;0;0;0;0;0;0;0;0;0;0
12078;7743;OCECar TER-87165944;St-Paul-Cap-Joux-Centre;570878,1849696;570878;1849696;81266;2;0;0;0;0;0;0;0;0;0;0
12085;7747;9-87110155;Salvagnac;547239,1879421;547239;1879421;81276;2;0;0;0;0;0;0;0;0;0;0
