UIC;Remontée dans TVS National;Code TVS export TGD/ TGA;Libellé;affichage GeM;Info TIC;code QLT;code UIC 8;;
295 600;22/05/2012;AYE;Aulnoyes Aymeries;10/05/2012;NON;FRXOY;87295600;;
313 098;02/09/2011;AYS;Ailly sur Somme;23/03/2012;NON;FRAIS;87313098;;
141 408;26/02/2013;AZE;Azerailles;OUI;;FRASL;87141408;;
783 324;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BAA;Banassac la Canourgue;01/01/2013;;FRINH;87783324;;
745 596;Avant Avril 2011;BAB;Bons en Chablais;17/02/2012;NON;FRHSL;87745596;;
141 416;05/02/2013;BAC;Baccarat;OUI;;FRASM;87141416;;
212 134;16/04/2013;BAH;Brumath;OUI;;FRBUF;87212134;;
784 298;11/12/2012;BAN;Banyuls sur Mer;12/12/2012;;FRXBU;87784298;;
214 247;16/04/2013;BAR;Barr;OUI;;FRBXR;87214247;;
444 067;11/12/2012;BAY;Bayeux;12/12/2012;;FRBYX;87444067;;
726 869;26/02/2013;BBY;Balbigny;OUI;;FRHJA;87726869;;
713 545;Avant Avril 2011;BEA;Beaune;OUI;OUI;FRXBV;87713545;;
781 609;11/12/2012;BED;Bédarieux;12/12/2012;;FRIMH;87781609;;
317 586;Avant Avril 2011;BEM;Boulogne;OUI;OUI;FRAEB;87317586;;
342 006;Avant Avril 2011;BET;Béthune;OUI;NON;FRXBH;87342006;;
696 088;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;BEW;Briare;OUI;;FRGSC;87696088;;
444 299;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BEY;Bernay;01/01/2013;;FRXBX;87444299;;663
300 822;11/12/2011;BFB;Belfort - Montbéliard TGV;OUI;OUI;FRTJA;87300822;;
300 863;11/12/2011;BFC;Besançon Franche-Comté TGV;OUI;OUI;FRTJB   ;87300863;;
214 122;16/04/2013;BFD;Benfeld;OUI;;FRBXK;87214122;;
214 296;23/04/2013;BFH;Bischoffsheim;OUI;;FRBXV;87214296;;
184 002;Avant Avril 2011;BFT;Belfort;OUI;NON;FRBOR;87184002;;
743 005;Avant Avril 2011;BGB;Bourg en Bresse;OUI;OUI;FRXBK;87743005;;
745 000;Avant Avril 2011;BGD;Bellegarde;OUI;OUI;FRXBF;87745000;;
722 728;26/02/2013;BGN;Brignais - Pas d'Arrivées;OUI;;FRHEP;87722728;;
576 207;Avant Avril 2011;BGS;Bourges;OUI;OUI;FRBOU;87576207;;
574 160;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;BGY;Beaugency;01/01/2013;;FREUE;87574160;;
182 659;26/02/2013;BHH;Breitenbach;OUI;;FRBKV;87182659;;
213 611;29/10/2013;BHW;Bischwiller;NON;NON;FRBWQ;87213611;;
673 400;29/06/2011;BIZ;Biarritz;OUI;OUI;FRBIQ;87673400;;
175 042;Avant Avril 2011;BLD;Bar le Duc;OUI;OUI;FRXBD;87175042;;
594 002;Avant Avril 2011;BLG;Brive la Gaillarde;OUI;OUI;FRBVE;87594002;;
734 244;17/01/2012;BLM;Brassac les Mines - Sainte-Florine;OUI;NON;FRHLE;87734244;;
574 004;Avant Avril 2011;BLO;Blois;OUI;OUI;FRXBQ;87574004;;
387 183;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BLR;Beaumont le Roger;01/01/2013;;FRDGR;87387183;;
726 778;02/09/2011;BMO;Bas Monistrol;OUI;NON;FRHIT;87726778;;
723 544;26/02/2013;BNO;Beynost;OUI;;FRHFG;87723544;;
415 893;23/04/2013;BNR;Bonnières;OUI;Vides;FRDQM;87415893;;
747 451;Avant Avril 2011;BNU;Brignoud;17/02/2012;NON;FRHVV;87747451;;
718 007;Avant Avril 2011;BNV;Besançon Viotte;OUI;OUI;FRABG;87718007;;
726 216;26/02/2013;BOH;Bouthéon;OUI;;FRHHK;87726216;;
746 339;02/09/2011;BON;Bonneville;OUI;NON;FRHTV;87746339;;
757 757;21/05/2013;BQJ;Le Bosquet;OUI;;FRLBO;87757757;;
611 095;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;BQY;Boussens;02/09/2011;;FRBSS;87611095;;
615 054;21/05/2013;BRA;Bram;OUI;;FRFUT;87615054;;
734 269;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BRD;Brioude;01/01/2013;;FRHLF;87734269;;
756 833;23/04/2013;BRE;Breil-sur-Roya;OUI;;FRBRR;87756833;;
723 429;29/01/2013;BRG;Bourgoin-Jallieu;OUI;;FRHEY;87723429;;
763 607;Avant Avril 2011;BRI;Briançon;23/03/2012;NON;FRXBC;87763607;;
144 154;21/05/2013;BRK;Bruyères;;à vérifier à 16:30 / 17:00;FRCGN;87144154;;
276 444;21/05/2013;BRN;Boran-sur-Oise;OUI;;FRCGM;87276444;;
474 007;Avant Avril 2011;BRT;Brest;OUI;OUI;FRBES;87474007;;
741 793;Avant Avril 2011;BSM;Bourg Saint-Maurice;OUI;OUI;FRQBM;87741793;;
726 414;26/02/2013;BSN;Bonson - Pas d'Arrivées;OUI;;FRHHT;87726414;;
696 336;26/02/2013;BSS;Bessay;OUI;;FRGSU;87696336;;
296 244;11/12/2012;BSY;Busigny;12/12/2012;;FRBSY;87296244;;
413 344;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BTB;Bréauté - Beuzeville;01/01/2013;;FRBTB;87413344;;
182 113;23/04/2013;BTK;Bartenheim;OUI;;FRBJF;87182113;;
387 092;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BUE;Bueil;01/01/2013;;FRBUE;87387092;;
381 624;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;BVA;Bréval;01/01/2013;;FRDDM;87381624;;
721 357;29/01/2013;BVL;Belleville sur Saône;OUI;;FRHCO;87721357;;
581 009;Avant Avril 2011;BXJ;Bordeaux Saint-Jean;OUI;OUI;FRBOJ;87581009;;
611 822;05/02/2013;BXL;Brax Léguevin;OUI;;FRFRF;87611822;;
673 004;Avant Avril 2011;BYE;Bayonne;OUI;OUI;FRXBY;87673004;;
141 218;05/02/2013;BYN;Bayon;OUI;;FRARS;87141218;;
172 049;23/04/2013;BYU;Bogny-sur-Meuse;OUI;;FRBDB;87172049;;
448 084;10/10/2012;BZN;Briouze;OUI;;;87448084;;
781 005;Avant Avril 2011;BZS;Béziers;OUI;OUI;FRBZR;87781005;;
171 462;16/04/2013;BZT;Bazancourt;OUI;;FRRBO;87171462;;
444 000;Avant Avril 2011;CAE;Caen;OUI;OUI;FRCFR;87444000;;
172 353;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CAG;Carignan Gare;01/01/2013;;FRBDZ;87172353;;
613 000;Avant Avril 2011;CAH;Cahors;OUI;OUI;FRZAO;87613000;;
345 520;15/01/2012;CAM;Cambrai;OUI;OUI;FRAFX;87345520;;
757 625;Avant Avril 2011;CAN;Cannes;OUI;OUI;FRJCA;87757625;;
447 243;11/12/2012;CAR;Carentan;12/12/2012;;FRDTK;87447243;;
345 561;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;CAU;Caudry;01/01/2013;;FRDAZ;87345561;;
444 877;janv.-13;CBU;Cherbourg;janv.-13;;FRACK;87444877;;
484 204;16/04/2013;CCE;Chalonnes;OUI;Vides;FREHH;87484204;;
387 159;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CCH;Conches;01/01/2013;;FRDGP;87387159;;
208 553;21/05/2013;CCL;Casino Lacroix Laval;OUI;;FRCLV;87208553;;
447 110;05/02/2013;CCS;Coutances;OUI;;FRDTC;87447110;;
613 109;11/12/2012;CDC;Capdenac;12/12/2012;;FRCDC;87613109;;
396 606;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CDL;Château du Loir;01/01/2013;;FRCDL;87396606;;
