142 125;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;CYN;Culmont - Chalindrey;10/05/2012;;FRCCY;87142125;;;;832636;2316909
;;;;;;;87142125;832636;2316909;;836167;2317848
;;;;;;;87142133;836167;2317848;;840548;2320694
;;;;;;;87142141;840548;2320694;;844759;2314257
;;;;;;;87142158;844759;2314257;;850574;2318966
;;;;;;;87142166;850574;2318966;;857821;2320432
;;;;;;;87142174;857821;2320432;;862575;2323996
;;;;;;;87142182;862575;2323996;;807973;2359200
;;;;;;;87142224;807973;2359200;;806945;2367166
;;;;;;;87142232;806945;2367166;;808130;2370118
;;;;;;;87142240;808130;2370118;;807912;2374651
;;;;;;;87142265;807912;2374651;;808360;2377839
;;;;;;;87142273;808360;2377839;;842861.72;2344461.33
;;;;;;;87142406;842861.72;2344461.33;;847305;2349086
;;;;;;;87142497;847305;2349086;;767209;2321382
;;;;;;;87142554;767209;2321382;;821982;2302037
;;;;;;;87142612;821982;2302037;;822079;2299520
;;;;;;;87142620;822079;2299520;;815743;2290123
;;;;;;;87142646;815743;2290123;;833457;2304903
;;;;;;;87142661;833457;2304903;;838686;2295660
;;;;;;;87142687;838686;2295660;;841293;2292266
;;;;;;;87142695;841293;2292266;;842924;2286367
;;;;;;;87142703;842924;2286367;;844103;2281429
;;;;;;;87142711;844103;2281429;;813426;2282906
;;;;;;;87142786;813426;2282906;;853314;2319561
;;;;;;;87142893;853314;2319561;;807049;2363452
;;;;;;;87143024;807049;2363452;;830584;2314762
;;;;;;;87143107;830584;2314762;;832838;2308854
;;;;;;;87143206;832838;2308854;;833588;2307276
;;;;;;;87143214;833588;2307276;;834811;2300560
;;;;;;;87143222;834811;2300560;;845186;2278011
;;;;;;;87143305;845186;2278011;;834385;2303723
;;;;;;;87143354;834385;2303723;;842202;2288585
;;;;;;;87143362;842202;2288585;;0;0
;;;;;;;87143370;0;0;;842707;2317289
;;;;;;;87143388;842707;2317289;;846481;2319672
;;;;;;;87143396;846481;2319672;;851415;2289308
;;;;;;;87143420;851415;2289308;;915918;2384834
;;;;;;;87143594;915918;2384834;;0;0
144 006;Avant Avril 2011;ELP;Epinal;OUI;OUI;FREPL;87144006;;;;905199;2361187
;;;;;;;87144006;905199;2361187;;0;0
144 014;Avant Avril 2011;STD;Saint-Dié des Vosges;OUI;OUI;FRXTD;87144014;;;;942181.16;2374813.6
;;;;;;;87144014;942181.16;2374813.6;;917707;2357777
;;;;;;;87144030;917707;2357777;;922360;2361508
;;;;;;;87144048;922360;2361508;;893656;2382932
;;;;;;;87144055;893656;2382932;;0;0
144 063;09/04/2013;VCY;Vincey;OUI;;FRAXP;87144063;;;;896411.41;2379147.81
;;;;;;;87144063;896411.41;2379147.81;;0;0
144 071;26/02/2013;CEO;Châtel - Nomexy;OUI;;FRAXQ;87144071;;;;900485;2375313
;;;;;;;87144071;900485;2375313;;0;0
144 089;05/03/2013;IYA;Igney;OUI;vides;FRAXR;87144089;;;;901549;2371336
;;;;;;;87144089;901549;2371336;;0;0
144 097;29/01/2013;TAO;Thaon;OUI;;FRAXS;87144097;;;;902940.22;2368485.74
;;;;;;;87144097;902940.22;2368485.74;;948871.89;2373398.04
;;;;;;;87144105;948871.89;2373398.04;;901100;2347046
;;;;;;;87144121;901100;2347046;;895428;2338764
;;;;;;;87144147;895428;2338764;;0;0
144 154;21/05/2013;BRK;Bruyères;;à vérifier à 16:30 / 17:00;FRCGN;87144154;;;;925656;2365263
;;;;;;;87144154;925656;2365263;;928183;2363263
;;;;;;;87144162;928183;2363263;;932165;2365755
;;;;;;;87144188;932165;2365755;;937456.12;2365229.57
;;;;;;;87144196;937456.12;2365229.57;;881034;2376017
;;;;;;;87144204;881034;2376017;;881356;2373479
;;;;;;;87144212;881356;2373479;;882339;2370354
;;;;;;;87144220;882339;2370354;;867980.61;2362075.08
;;;;;;;87144279;867980.61;2362075.08;;864286;2359404
;;;;;;;87144287;864286;2359404;;859796;2351267
;;;;;;;87144295;859796;2351267;;855009;2348973
;;;;;;;87144303;855009;2348973;;850772.56;2352231.42
;;;;;;;87144311;850772.56;2352231.42;;951612;2376237
;;;;;;;87144329;951612;2376237;;952145.35;2377933.47
;;;;;;;87144345;952145.35;2377933.47;;955492;2379251
;;;;;;;87144386;955492;2379251;;0;0
144 410;23/04/2013;ARH;Arches;OUI;;FRARH;87144410;;;;911965;2355072
